Test Case ID,Summary,Priority,Test Type,Endpoint,Method,Preconditions,Test Steps,Expected Result,Risk Level,Automation Status,Category
TC-USR-001,Criar usuário com dados válidos,Alta,Funcional,/usuarios,POST,API disponível,"1. Enviar POST /usuarios com nome, email, password, administrador válidos",Status 201 - Usuário criado com sucesso,Alto,Automatizado,Usuários
TC-USR-002,Criar usuário com dados inválidos,Alta,Negativo,/usuarios,POST,API disponível,"1. Enviar POST /usuarios com campos vazios ou tipos incorretos",Status 400 - Mensagem de erro específica,Crítico,Automatizado,Usuários
TC-USR-003,Criar usuário com email duplicado,Média,Negativo,/usuarios,POST,Usuário existente,"1. Enviar POST /usuarios com email já cadastrado",Status 400 - Email já utilizado,Alto,Automatizado,Usuários
TC-USR-004,Listar todos os usuários,Média,Funcional,/usuarios,GET,Usuários cadastrados,1. Enviar GET /usuarios,Status 200 - Array de usuários,Médio,Automatizado,Usuários
TC-USR-005,Buscar usuário por ID válido,Alta,Funcional,/usuarios/{_id},GET,Usuário existente,1. Enviar GET /usuarios/{_id} com ID válido,Status 200 - Dados completos do usuário,Médio,Automatizado,Usuários
TC-USR-006,Buscar usuário por ID inválido,Média,Negativo,/usuarios/{_id},GET,API disponível,1. Enviar GET /usuarios/{_id} com ID inexistente,Status 404 - Usuário não encontrado,Baixo,Automatizado,Usuários
TC-USR-007,Editar usuário existente,Média,Funcional,/usuarios/{_id},PUT,Usuário existente e autenticado,1. Enviar PUT /usuarios/{_id} com dados válidos,Status 200 - Usuário atualizado,Alto,Automatizado,Usuários
TC-USR-008,Editar usuário com dados inválidos,Média,Negativo,/usuarios/{_id},PUT,Usuário existente,1. Enviar PUT /usuarios/{_id} com dados inválidos,Status 400 - Mensagem de erro,Alto,Automatizado,Usuários
TC-USR-009,Excluir usuário existente,Alta,Funcional,/usuarios/{_id},DELETE,Usuário existente e autenticado,1. Enviar DELETE /usuarios/{_id} com permissão,Status 200 - Usuário excluído,Alto,Automatizado,Usuários
TC-USR-010,Excluir usuário sem permissão,Alta,Segurança,/usuarios/{_id},DELETE,Usuário sem permissão admin,1. Enviar DELETE /usuarios/{_id} sem autorização,Status 403 - Acesso negado,Alto,Automatizado,Usuários
TC-LOGIN-001,Login com credenciais válidas,Alta,Funcional,/login,POST,Usuário cadastrado,1. Enviar POST /login com email e senha válidos,Status 200 - Token de autenticação,Crítico,Automatizado,Autenticação
TC-LOGIN-002,Login com credenciais inválidas,Alta,Negativo,/login,POST,API disponível,1. Enviar POST /login com email ou senha incorretos,Status 401 - Credenciais inválidas,Alto,Automatizado,Autenticação
